ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector,_industry,_sector_label,_industry_label,_sector_strength,_industry_strength,_sector_ret_5d,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr
EFX,Long,BOUNCE,T2-LONG,69,157.61,147.9541,176.9218,,2.0,9.6559,157.61,1.5,CLOSE,3,3,"1h,4h,5m",155.23,152.53,OPEN_ROAD,EXCITED,0.85,161657948.0,1.1,1.0,0.0,1.0,10.9,14.0,8.0,118.56,HIGH,0.02,153.135,152.53,153.74,0.8,PREMIUM,PREMIUM,701,1,625,4.1,D,,,,False,6.473357142857144,1.49,N/A,,TECH,,WEAK,,0.24,,-1.7,0.24,0.479,0.375,0.0,0.208,0.24,0.972,FAVORABLE,152.53,157.61,159.1861,21,10,8,5.33,2.0,1.58,3203.13,1576.1,1273.49,10:30,147.9541,176.9218,PULLBACK_LIMIT,,,
ARQT,Long,BOUNCE,T1-STRONG_LONG,100,27.37,25.3665,31.3771,,2.0,2.0035,27.37,1.0,CLOSE,7,6,"10m,15m,1h,30m,4h,5m",27.1001,26.151,HIGHWAY,EXCITED,4.88,101211807.0,1.2,1.0,0.0,1.0,10.7,35.0,8.0,92.57,HIGH,0.02,26.365,26.27,26.46,0.7,PREMIUM,PREMIUM,869,8,563,12.7,A,,,,False,1.2249928571428577,1.64,N/A,,HEALTHCARE,BIOTECH,STRONG,HOT,0.76,1.0,0.71,1.0,0.479,0.167,0.646,0.208,1.0,0.9437,FAVORABLE,26.151,27.37,27.6437,127,49,43,6.66,2.0,1.64,3321.18,1341.13,1188.68,10:30,25.3665,31.3771,PULLBACK_LIMIT,,,
TREX,Long,PULLBACK,T1-STRONG_LONG,100,46.12,43.9798,50.4004,,2.0,2.1402,48.88,5.6,APPROACH,5,5,"10m,15m,1d,30m,5m",46.12,45.34,HIGHWAY,EXCITED,4.21,126339171.0,1.2,1.0,0.0,0.0,9.2,42.0,8.0,103.24,HIGH,0.02,45.73,45.34,46.12,1.7,PREMIUM,MID,2465,7,1596,99.9,A,,,,False,2.4017785714285718,0.89,N/A,,MATERIALS,,NEUTRAL,,0.4,,-2.6,0.4,0.479,0.75,0.646,0.208,0.4,0.9387,FAVORABLE,45.34,46.12,46.5812,73,46,38,3.72,2.0,1.47,3309.82,2121.52,1770.09,10:30,43.9798,50.4004,PULLBACK_LIMIT,,,
EPC,Long,PULLBACK,T1-STRONG_LONG,100,25.22,21.47,32.72,26.145,2.0,3.75,26.58,5.1,APPROACH,4,4,"1d,1h,30m,4h",25.22,22.72,HIGHWAY,EXCITED,3.14,594929395.0,1.4,2.0,0.0,1.0,23.2,41.0,8.0,41.31,MED,0.04,26.145,26.22,26.07,-0.6,PREMIUM,DISCOUNT,2353,8,1130,99.9,A,,,,False,1.39165,2.69,N/A,,HEALTHCARE,,STRONG,,0.76,,0.71,0.76,0.479,0.708,0.646,0.792,0.76,0.9176,FAVORABLE,22.72,25.22,25.4722,80,26,24,8.0,2.0,1.81,1817.6,655.72,611.33,10:30,21.47,32.72,PULLBACK_LIMIT,,,
SVC,Long,BOUNCE,T2-LONG,91,1.76,1.6587,1.9626,,2.0,0.1013,1.76,0.0,CLOSE,7,6,"15m,1h,1m,30m,4h,5m",1.7599,1.71,OPEN_ROAD,EXCITED,2.92,13921419.0,1.5,1.1,0.0,1.0,10.0,31.0,8.0,535.0,MEGA,0.02,1.71,1.71,1.71,0.0,FLAT,FLAT,25,5,10,2.0,D,,,,True,0.07892857142857136,1.28,N/A,,FINANCIAL,,NEUTRAL,,0.68,,-0.81,0.68,0.479,0.0,0.25,0.208,0.68,0.9165,FAVORABLE,1.71,1.76,1.78,1949,987,824,4.92,2.0,1.51,3332.79,1737.12,1466.72,10:30,1.6587,1.9626,PULLBACK_LIMIT,,,
CRNX,Long,BOUNCE,T2-LONG,100,36.18,34.3186,39.9028,,2.0,1.8614,36.18,0.2,CLOSE,4,2,"1h,4h",36.09,35.38,OPEN_ROAD,EXCITED,1.7,32130262.0,1.6,1.1,0.0,0.0,8.3,25.0,8.0,95.58,HIGH,0.02,36.155,35.91,36.4,1.4,MID,DISCOUNT,448,7,117,4.5,B,,,,False,1.6558857142857133,1.12,N/A,,HEALTHCARE,BIOTECH,STRONG,HOT,0.76,1.0,0.71,1.0,0.479,0.062,0.646,0.208,1.0,0.9125,FAVORABLE,35.38,36.18,36.5418,94,53,44,4.26,2.0,1.51,3325.72,1917.54,1607.84,10:30,34.3186,39.9028,PULLBACK_LIMIT,,,
TEX,Long,BOUNCE,T1-STRONG_LONG,100,70.1,64.8154,80.6692,,2.0,5.2846,70.1,1.3,CLOSE,5,4,"15m,1d,1h,4h",69.17,66.82,HIGHWAY,EXCITED,1.07,152530338.0,1.5,1.6,0.0,0.0,10.8,51.0,8.0,112.73,HIGH,0.02,68.075,67.94,68.21,0.4,FLAT,FLAT,4841,10,2313,99.9,A,,,,False,3.1300000000000003,1.69,N/A,,INDUSTRIAL,,NEUTRAL,,0.64,,0.45,0.64,0.479,0.292,0.646,0.208,0.64,0.8732,FAVORABLE,66.82,70.1,70.801,49,18,16,6.91,2.0,1.65,3274.18,1261.8,1132.82,10:30,64.8154,80.6692,PULLBACK_LIMIT,,,
SNDA,Long,BOUNCE,T1-STRONG_LONG,100,38.58,35.4632,44.8136,,2.0,3.1168,38.58,2.2,CLOSE,6,6,"10m,1d,1h,30m,4h,5m",37.7265,36.56,HIGHWAY,EXCITED,3.05,41114878.0,1.9,1.1,0.0,1.0,16.8,20.0,8.0,28.7,MED,0.05,36.66,36.64,36.68,0.1,FLAT,FLAT,628,5,297,99.9,A,,,,False,1.6545214285714296,1.88,N/A,,HEALTHCARE,,STRONG,,0.76,,0.71,0.76,0.479,0.5,0.646,0.938,0.76,0.8259,FAVORABLE,36.56,38.58,38.9658,91,32,28,7.53,2.0,1.67,3326.96,1234.56,1091.04,10:30,35.4632,44.8136,PULLBACK_LIMIT,,,
WIX,Long,BOUNCE,T2-LONG,74,42.6,40.4684,46.8632,,2.0,2.1316,42.6,1.9,CLOSE,3,3,"15m,1h,4h",41.81,41.72,OPEN_ROAD,EXCITED,1.16,9097933.0,0.7,0.7,0.0,0.0,12.6,45.0,8.0,29.48,MED,0.05,40.32,40.43,40.21,-0.5,PREMIUM,PREMIUM,121,1,121,4.2,D,,,,False,2.9647928571428572,0.72,N/A,,TECH,,WEAK,,0.24,,-1.7,0.24,0.479,0.458,0.104,0.938,0.24,0.8199,FAVORABLE,41.72,42.6,43.026,79,46,39,4.11,2.0,1.5,3295.88,1959.6,1678.01,10:30,40.4684,46.8632,PULLBACK_LIMIT,,,
STNE,Long,BOUNCE,T1-STRONG_LONG,88,10.82,10.282,11.896,,2.0,0.538,10.82,0.2,CLOSE,7,6,"10m,15m,1d,1h,4h,5m",10.795,10.6,OPEN_ROAD,EXCITED,1.23,32539956.0,0.9,0.8,0.0,0.0,8.7,31.0,8.0,216.35,MEGA,0.02,10.7415,10.72,10.763,0.4,FLAT,FLAT,204,2,20,5.6,C,,,,True,0.43185714285714305,1.25,N/A,,TECH,,WEAK,,0.24,,-1.7,0.24,0.479,0.062,0.208,0.208,0.24,0.8157,FAVORABLE,10.6,10.82,10.9282,314,185,154,4.08,2.0,1.5,3328.4,2001.7,1682.94,10:30,10.282,11.896,PULLBACK_LIMIT,,,
PPC,Long,BOUNCE,T2-LONG,100,27.56,25.8311,31.0178,,2.0,1.7289,27.56,1.1,CLOSE,4,4,"1d,1h,30m,4h",27.25,26.63,OPEN_ROAD,EXCITED,0.88,63860238.0,0.7,1.0,0.0,1.0,9.5,50.0,8.0,42.23,MED,0.03,27.525,27.72,27.33,-1.4,MID,DISCOUNT,272,1,77,4.0,D,,,,False,1.0705714285714294,1.61,N/A,,CONS_STAPL,,NEUTRAL,,0.72,,-0.66,0.72,0.479,0.208,0.646,0.542,0.72,0.8056,FAVORABLE,26.63,27.56,27.8356,125,57,49,5.49,2.0,1.59,3328.75,1570.92,1363.94,10:30,25.8311,31.0178,PULLBACK_LIMIT,,,
MMED,Long,BOUNCE,T1-STRONG_LONG,82,14.13,13.3278,15.7344,,2.0,0.8022,14.13,1.3,CLOSE,4,4,"10m,15m,30m,5m",13.95,13.74,OPEN_ROAD,EXCITED,0.78,1508442.0,1.1,0.7,0.0,1.0,11.9,36.0,8.0,28.0,MED,0.04,13.855,13.74,13.97,1.7,PREMIUM,MID,493,4,313,2.3,C,,,,True,0.897757142857143,0.89,N/A,,TECH,,WEAK,,0.24,,-1.7,0.24,0.479,0.292,0.167,0.792,0.24,0.7803,FAVORABLE,13.74,14.13,14.2713,242,124,105,4.84,2.0,1.55,3325.08,1752.12,1498.49,10:30,13.3278,15.7344,PULLBACK_LIMIT,,,
TRU,Long,BOUNCE,T2-LONG,100,68.0,62.4971,79.0058,,2.0,5.5029,68.0,1.3,CLOSE,9,7,"10m,15m,1d,1h,30m,4h,5m",67.1,64.43,OPEN_ROAD,EXCITED,1.1,571032212.0,1.2,1.2,0.0,1.0,11.0,28.0,8.0,191.49,HIGH,0.02,66.53,65.96,67.1,1.7,PREMIUM,DISCOUNT,1024,1,524,3.5,D,,,,False,2.7489285714285714,2.0,N/A,,TECH,,WEAK,,0.24,,-1.7,0.24,0.479,0.292,0.646,0.208,0.24,0.7532,FAVORABLE,64.43,68.0,68.68,51,18,16,7.54,2.0,1.67,3285.93,1224.0,1098.88,10:30,62.4971,79.0058,PULLBACK_LIMIT,,,
BWIN,Long,BOUNCE,T1-STRONG_LONG,100,24.87,23.6583,27.2934,,2.0,1.2117,24.87,0.8,CLOSE,4,4,"1d,1h,30m,4h",24.66,24.39,HIGHWAY,EXCITED,1.21,104303877.0,1.4,1.7,0.0,2.0,53.0,25.0,8.0,75.85,HIGH,0.04,24.525,24.39,24.66,1.1,PREMIUM,MID,1686,6,1605,5.5,B,,,,False,1.6010714285714287,0.76,N/A,,FINANCIAL,,NEUTRAL,,0.68,,-0.81,0.68,0.479,0.125,0.646,0.792,0.68,0.7186,FAVORABLE,24.39,24.87,25.1187,136,82,68,3.97,2.0,1.49,3317.04,2039.34,1708.07,10:30,23.6583,27.2934,PULLBACK_LIMIT,,,
WEN,Long,BOUNCE,T2-LONG,100,7.86,5.5241,12.5318,,2.0,2.3359,7.86,1.7,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",7.73,6.2594,OPEN_ROAD,EXCITED,75.56,52035747345.0,11.2,4.2,7501808.0,1.0,46.4,11.0,8.0,156.88,HIGH,1.34,7.0325,6.255,7.81,24.9,PREMIUM,MID,1084,1,119,12.6,D,,,,True,0.47550471428571434,4.91,N/A,,CONS_DISC,,NEUTRAL,,0.44,,-2.67,0.44,0.479,0.417,0.646,1.0,0.44,0.6924,FAVORABLE,6.2594,7.86,7.9386,135,42,41,8.53,2.0,1.9,845.02,330.12,325.48,10:30,5.5241,12.5318,PULLBACK_LIMIT,,,
