ticker,phase,score,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
FLO,ACTIVE_RECLAIM_WATCH,100.0,7.975,1h,log_regression,AT_UPPER,0.735,24,7.09,7.62,daily,100.0,nearest_support_gap_hi,7.91,True,True,30.28,30.28,0.06,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
CRDO,ACTIVE_RECLAIM_WATCH,100.0,238.54,weekly,log_regression,MID,0.573,19,208.12,217.185,daily,93.65,nearest_support_gap_hi,233.92,True,True,29.4,29.4,0.31,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
CEG,ACTIVE_RECLAIM_WATCH,100.0,259.07,weekly,log_regression,AT_LOWER,0.017,14,223.44,232.2,daily,88.64,nearest_support_gap_hi,257.77,True,True,28.85,28.85,0.13,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
BTDR,ACTIVE_RECLAIM_WATCH,100.0,16.325,1h,log_regression,AT_LOWER,0.095,25,14.65,14.955,weekly,98.11,nearest_support_gap_hi,16.16,True,True,26.92,26.92,1.26,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
WDC,ACTIVE_RECLAIM_WATCH,100.0,630.32,daily,log_regression,MID,0.531,26,562.925,618.78,weekly,100.0,nearest_support_gap_hi,626.59,True,True,26.9,26.9,2.03,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
VRT,ACTIVE_RECLAIM_WATCH,100.0,303.76,daily,log_regression,AT_LOWER,0.321,21,203.0,233.25,daily,100.0,nearest_support_gap_hi,303.375,True,True,25.08,25.08,1.62,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
MRVL,ACTIVE_RECLAIM_WATCH,100.0,264.79,daily,log_regression,MID,0.336,13,219.43,253.46,daily,100.0,nearest_support_gap_hi,264.31,True,True,24.58,24.58,1.35,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 24.58% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
FPS,ACTIVE_RECLAIM_WATCH,100.0,54.105,daily,log_regression,AT_LOWER,0.092,17,47.9,50.0,weekly,100.0,nearest_support_gap_hi,53.98,True,True,23.63,23.63,0.45,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 23.63% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
FWRG,ACTIVE_RECLAIM_WATCH,100.0,12.89,1h,log_regression,MID,0.539,21,12.08,12.1,daily,81.82,nearest_support_gap_hi,12.83,True,True,23.58,23.58,0.39,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 23.58% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
CLSK,PRE_RECLAIM_WATCH,100.0,15.53,daily,log_regression,AT_LOWER,0.303,12,10.76,11.235,daily,96.67,nearest_support_gap_hi,15.47,True,False,23.44,23.44,0.1,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 23.44% from recent high | tagging reload level nearest_support_gap_hi | room back to recent high,not_yet_reclaimed | overhead_gap_too_close
CHYM,ACTIVE_RECLAIM_WATCH,100.0,20.2126,1h,log_regression,MID,0.489,22,17.38,17.42,daily,93.1,nearest_support_gap_hi,20.07,True,True,22.45,22.45,1.32,GAPS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 22.45% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
NVDA,PRE_RECLAIM_WATCH,100.0,193.855,weekly,log_regression,AT_LOWER,0.319,19,132.39,134.15,weekly,97.83,nearest_support_gap_hi,193.85,True,False,22.02,22.02,0.18,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 22.02% from recent high | tagging reload level nearest_support_gap_hi | room back to recent high,not_yet_reclaimed | overhead_gap_too_close
TTAN,PRE_RECLAIM_WATCH,100.0,69.185,1h,log_regression,AT_UPPER,0.686,21,63.4,63.78,daily,98.36,nearest_support_gap_hi,68.99,True,False,21.54,21.54,0.01,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 21.54% from recent high | tagging reload level nearest_support_gap_hi | room back to recent high,not_yet_reclaimed | overhead_gap_too_close
NUAI,ACTIVE_RECLAIM_WATCH,100.0,6.035,daily,log_regression,MID,0.554,15,4.85,5.06,weekly,88.89,nearest_support_gap_hi,5.965,True,True,20.96,20.96,0.29,MIXED_OR_WEAK,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 20.96% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
TTMI,ACTIVE_RECLAIM_WATCH,100.0,185.9,daily,log_regression,MID,0.546,26,140.46,158.22,daily,100.0,nearest_support_gap_hi,185.48,True,True,20.76,20.76,1.16,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 20.76% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
CIFR,PRE_RECLAIM_WATCH,100.0,24.97,daily,log_regression,MID,0.431,14,23.1,23.315,weekly,93.75,nearest_support_gap_hi,24.955,True,False,20.7,20.7,1.8,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 20.7% from recent high | tagging reload level nearest_support_gap_hi | room back to recent high,not_yet_reclaimed | overhead_gap_too_close
MCHP,PRE_RECLAIM_WATCH,100.0,88.0,daily,log_regression,AT_LOWER,0.3,34,82.48,85.775,daily,97.44,nearest_support_gap_hi,87.89,True,False,20.35,20.35,0.09,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 20.35% from recent high | tagging reload level nearest_support_gap_hi | room back to recent high,not_yet_reclaimed | overhead_gap_too_close
WEN,ACTIVE_RECLAIM_WATCH,100.0,7.95,15m,log_regression,MID,0.354,10,6.255,7.81,daily,100.0,nearest_support_gap_hi,7.92,True,True,19.87,19.87,3.14,OPTIONS_MISSING,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 19.87% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,
WULF,PRE_RECLAIM_WATCH,100.0,24.935,daily,log_regression,MID,0.37,11,22.82,24.455,weekly,97.87,nearest_support_gap_hi,24.93,True,False,19.67,19.67,0.36,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 19.67% from recent high | tagging reload level nearest_support_gap_hi | room back to recent high,not_yet_reclaimed | overhead_gap_too_close
ANNX,ACTIVE_RECLAIM_WATCH,100.0,5.53,daily,log_regression,AT_LOWER,0.159,14,4.9,4.99,weekly,96.15,nearest_support_gap_hi,5.51,True,True,19.62,19.62,0.36,GAPS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 19.62% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
SNDK,PRE_RECLAIM_WATCH,100.0,1990.2725,daily,log_regression,AT_LOWER,0.287,12,1478.69,1535.21,weekly,98.86,nearest_support_gap_hi,1984.23,True,False,19.58,19.58,1.85,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 19.58% from recent high | tagging reload level nearest_support_gap_hi | room back to recent high,not_yet_reclaimed | overhead_gap_too_close
NBIS,ACTIVE_RECLAIM_WATCH,100.0,251.24,daily,log_regression,AT_UPPER,0.826,16,180.42,203.845,daily,98.08,nearest_support_gap_hi,249.749,True,True,19.35,19.35,1.44,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 19.35% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
HUT,ACTIVE_RECLAIM_WATCH,100.0,118.13,daily,log_regression,MID,0.608,27,80.51,101.57,daily,100.0,nearest_support_gap_hi,117.61,True,True,19.19,19.19,1.88,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 19.19% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
NUVB,ACTIVE_RECLAIM_WATCH,100.0,5.555,1h,log_regression,AT_LOWER,0.305,10,4.92,5.04,weekly,92.68,nearest_support_gap_hi,5.44,True,True,18.81,18.81,0.54,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 18.81% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
COHR,ACTIVE_RECLAIM_WATCH,100.0,370.9,daily,log_regression,MID,0.337,24,330.5,335.26,weekly,100.0,nearest_support_gap_hi,367.3,True,True,18.63,18.63,2.02,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 18.63% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
RLMD,PRE_RECLAIM_WATCH,100.0,6.755,daily,log_regression,AT_LOWER,0.258,22,4.45,6.41,daily,100.0,nearest_support_gap_hi,6.75,True,False,18.43,18.43,0.52,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 18.43% from recent high | tagging reload level nearest_support_gap_hi | room back to recent high,not_yet_reclaimed | overhead_gap_too_close
CORZ,PRE_RECLAIM_WATCH,100.0,25.97,daily,log_regression,AT_LOWER,0.328,19,16.83,17.61,daily,97.92,nearest_support_gap_hi,25.95,True,False,17.29,17.29,0.54,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 17.29% from recent high | tagging reload level nearest_support_gap_hi | room back to recent high,not_yet_reclaimed | overhead_gap_too_close
DRAM,PRE_RECLAIM_WATCH,100.0,69.84,daily,log_regression,AT_LOWER,0.243,27,65.01,69.64,weekly,100.0,nearest_support_gap_hi,69.81,True,False,17.24,17.24,0.73,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 17.24% from recent high | tagging reload level nearest_support_gap_hi | room back to recent high,not_yet_reclaimed | overhead_gap_too_close
SMTC,PRE_RECLAIM_WATCH,100.0,151.546,daily,log_regression,MID,0.664,30,137.64,149.13,weekly,100.0,nearest_support_gap_hi,151.21,True,False,17.03,17.03,0.3,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 17.03% from recent high | tagging reload level nearest_support_gap_hi | room back to recent high,not_yet_reclaimed | overhead_gap_too_close
UMC,ACTIVE_RECLAIM_WATCH,100.0,26.08,1h,log_regression,AT_UPPER,0.809,34,18.22,21.03,weekly,100.0,nearest_support_gap_hi,25.81,True,True,16.76,16.76,0.08,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 16.76% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
MARA,ACTIVE_RECLAIM_WATCH,100.0,14.1074,daily,log_regression,AT_LOWER,0.328,11,8.96,9.5,daily,89.66,nearest_support_gap_hi,13.91,True,True,16.46,16.46,0.02,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 16.46% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
AMZN,ACTIVE_RECLAIM_WATCH,100.0,241.73,weekly,log_regression,MID,0.448,24,193.06,205.59,weekly,100.0,nearest_support_gap_hi,241.47,True,True,15.24,15.24,0.05,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 15.24% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
ADI,PRE_RECLAIM_WATCH,100.0,392.77,daily,log_regression,MID,0.405,51,327.41,345.81,daily,98.91,nearest_support_gap_hi,392.61,True,False,14.57,14.57,0.15,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 14.57% from recent high | tagging reload level nearest_support_gap_hi | room back to recent high,not_yet_reclaimed | overhead_gap_too_close
BA,ACTIVE_RECLAIM_WATCH,100.0,214.665,weekly,log_regression,AT_LOWER,0.202,13,162.52,172.37,daily,100.0,nearest_support_gap_hi,211.0,True,True,14.27,14.27,0.01,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 14.27% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
DLTR,ACTIVE_RECLAIM_WATCH,100.0,121.79,weekly,log_regression,MID,0.455,37,95.87,111.01,daily,100.0,nearest_support_gap_hi,121.5,True,True,14.06,14.06,0.1,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 14.06% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
SNOW,ACTIVE_RECLAIM_WATCH,100.0,250.61,1h,log_regression,OUTSIDE_UP,1.128,17,175.26,237.0,daily,100.0,nearest_support_gap_hi,241.91,True,True,13.72,13.72,0.3,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 13.72% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
RIVN,PRE_RECLAIM_WATCH,100.0,16.41,1h,log_regression,AT_LOWER,0.104,21,14.22,14.355,weekly,90.48,nearest_support_gap_hi,16.3983,True,False,13.04,13.04,0.82,GAPS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 13.04% from recent high | tagging reload level nearest_support_gap_hi | room back to recent high,not_yet_reclaimed | overhead_gap_too_close
SOFI,ACTIVE_RECLAIM_WATCH,100.0,17.815,weekly,log_regression,AT_LOWER,0.103,12,15.62,16.48,weekly,100.0,nearest_support_gap_hi,17.67,True,True,12.99,12.99,0.21,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 12.99% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
ACHC,PRE_RECLAIM_WATCH,100.0,26.75,daily,log_regression,AT_LOWER,0.32,36,17.39,20.305,daily,96.72,nearest_support_gap_hi,26.64,True,False,12.89,12.89,0.9,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 12.89% from recent high | tagging reload level nearest_support_gap_hi | room back to recent high,not_yet_reclaimed | overhead_gap_too_close
INTC,PRE_RECLAIM_WATCH,100.0,125.865,daily,log_regression,AT_UPPER,0.733,16,66.78,82.2,daily,100.0,nearest_support_gap_hi,125.79,True,False,12.38,12.38,1.55,GAPS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 12.38% from recent high | tagging reload level nearest_support_gap_hi | room back to recent high,not_yet_reclaimed | overhead_gap_too_close
HOOD,PRE_RECLAIM_WATCH,100.0,100.12,weekly,log_regression,AT_LOWER,0.132,19,86.36,87.08,daily,77.59,nearest_support_gap_hi,100.085,True,False,12.37,12.37,0.68,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | controlled pullback 12.37% from recent high | tagging reload level nearest_support_gap_hi | room back to recent high,not_yet_reclaimed | overhead_gap_too_close
AAPL,PRE_RECLAIM_WATCH,100.0,282.83,daily,log_regression,AT_LOWER,0.307,13,271.35,278.855,daily,100.0,nearest_support_gap_hi,282.8,True,False,12.22,12.22,0.25,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 12.22% from recent high | tagging reload level nearest_support_gap_hi | room back to recent high,not_yet_reclaimed | overhead_gap_too_close
CSCO,ACTIVE_RECLAIM_WATCH,100.0,117.48,daily,log_regression,AT_UPPER,0.788,39,101.87,115.53,daily,100.0,nearest_support_gap_hi,117.31,True,True,10.97,10.97,0.01,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 10.97% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
TOST,ACTIVE_RECLAIM_WATCH,100.0,28.015,weekly,gap_topology,AT_LOWER,0.011,33,27.08,27.45,weekly,96.15,nearest_support_gap_hi,27.695,True,True,10.83,10.83,0.21,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 10.83% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
SCHW,ACTIVE_RECLAIM_WATCH,100.0,90.95,weekly,log_regression,AT_LOWER,0.136,26,79.94,80.45,weekly,97.44,nearest_support_gap_hi,90.39,True,True,10.79,10.79,0.38,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 10.79% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
DHR,PRE_RECLAIM_WATCH,100.0,193.24,1h,log_regression,AT_LOWER,0.259,41,179.07,181.06,daily,91.55,nearest_support_gap_hi,193.23,True,False,10.07,10.07,0.19,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 10.07% from recent high | tagging reload level nearest_support_gap_hi | room back to recent high,not_yet_reclaimed | overhead_gap_too_close
TNGX,ACTIVE_RECLAIM_WATCH,100.0,31.43,daily,log_regression,AT_UPPER,0.698,15,21.76,30.005,weekly,100.0,nearest_support_gap_hi,31.31,True,True,9.42,9.42,0.1,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 9.42% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
HIMS,ACTIVE_RECLAIM_WATCH,100.0,32.9801,daily,log_regression,MID,0.572,21,15.74,23.215,weekly,100.0,nearest_support_gap_hi,32.88,True,True,9.13,9.13,0.06,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 9.13% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
RIOT,ACTIVE_RECLAIM_WATCH,100.0,27.83,daily,log_regression,MID,0.476,19,20.35,22.4,daily,100.0,nearest_support_gap_hi,27.7,True,True,8.95,8.95,2.05,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 8.95% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
ABSI,ACTIVE_RECLAIM_WATCH,100.0,11.07,daily,log_regression,AT_UPPER,1.003,30,7.915,9.51,daily,100.0,upper,11.05,True,True,8.9,8.9,0.09,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 8.9% from recent high | recent tag/reclaim of upper | room back to recent high,overhead_gap_too_close
XLK,PRE_RECLAIM_WATCH,100.0,183.68,daily,log_regression,AT_UPPER,0.799,55,125.385,126.485,weekly,98.02,nearest_support_gap_hi,183.33,True,False,8.19,8.19,0.02,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 8.19% from recent high | tagging reload level nearest_support_gap_hi | room back to recent high,not_yet_reclaimed | overhead_gap_too_close
ASX,ACTIVE_RECLAIM_WATCH,100.0,41.1296,daily,log_regression,MID,0.63,40,28.59,29.15,weekly,97.0,nearest_support_gap_hi,41.06,True,True,8.12,8.12,1.51,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 8.12% from recent high | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
