ticker,side,tier,fem,l1,l2,l3,l4,l5,l6,l7,entry,stop,t1,rr,risk,last_close,dist_pct,proximity,genesis,tick_width,path,range,vol_sig,velocity,session,vraq,isolation,macro,gap_tf
ADBE,Short,T3-WATCH,51,53,78,0,58,60,48,54,246.2,247.21,243.17,3.0,1.01,234.84,4.8,APPROACH,VACUUM,101,HIGHWAY,OPEN_BELOW,NEUTRAL,STEADY,MIXED,WEAK,MILKY_WAY,BEARISH,4h
LCID,Short,T3-WATCH,50,63,78,0,50,23,40,88,9.83,9.91,9.59,3.0,0.08,9.4,4.6,APPROACH,MINOR,8,HIGHWAY,OPEN_BELOW,BUILDING,ACCELERATING,MIXED,STRONG,MILKY_WAY,BEARISH,1d
SBUX,Short,T3-WATCH,47,75,62,0,42,25,45,54,96.93,97.42,95.46,3.0,0.49,86.81,11.7,WAITING,MINOR,49,HIGHWAY,OPEN_BELOW,BUILDING,ACCELERATING,MIXED,WEAK,SEMI_ISOLATED,BEARISH,1d
GOOGL,Long,T4-LONG,71,81,85,92,30,40,75,77,264.28,261.68,277.28,5.0,2.6,274.34,3.7,APPROACH,VACUUM,260,HIGHWAY,EDGE,PRESSURE,MIXED,ALIGNED,STRONG,MILKY_WAY,BULLISH,1d
GOOG,Long,T4-LONG,70,81,85,92,30,32,75,77,264.94,262.51,277.5,5.2,2.43,273.76,3.2,APPROACH,CONVICTION,243,HIGHWAY,EDGE,PRESSURE,ACCELERATING,ALIGNED,STRONG,MILKY_WAY,BULLISH,1d
TSLA,Long,T4-LONG,68,55,92,92,50,35,75,81,344.68,338.89,369.86,4.3,5.79,361.83,4.7,APPROACH,CONVICTION,579,HIGHWAY,NEAR_EDGE,BUILDING,ACCELERATING,ALIGNED,STRONG,SEMI_ISOLATED,BULLISH,1d
HL,Short,T5-LOW,64,69,78,48,78,35,53,73,19.23,19.62,15.14,10.6,0.39,17.93,7.3,WAITING,MINOR,39,OPEN_ROAD,EDGE,EXHAUSTION,ACCELERATING,MIXED,STRONG,MILKY_WAY,NEUTRAL,1d
ORCL,Short,T5-LOW,59,71,48,62,58,72,40,50,141.69,142.54,139.38,2.7,0.85,139.66,1.5,CLOSE,MINOR,85,OPEN_ROAD,EDGE,NEUTRAL,DECELERATING,MIXED,WEAK,CLUSTERED,BEARISH,1d
BA,Short,T5-LOW,59,75,38,70,58,42,40,84,193.64,194.27,184.0,15.3,0.63,190.52,1.6,CLOSE,MINOR,63,OPEN_ROAD,EDGE,NEUTRAL,MIXED,MIXED,STRONG,SEMI_ISOLATED,BEARISH,1d
BBD,Short,T5-LOW,59,79,30,70,58,50,40,80,3.87,3.94,3.37,6.7,0.07,3.49,10.7,WAITING,COMPRESSION,7,OPEN_ROAD,EDGE,NEUTRAL,MIXED,MIXED,STRONG,CLUSTERED,NEUTRAL,1d
QBTS,Short,T5-LOW,58,68,66,62,30,45,40,84,14.51,14.65,12.52,14.2,0.14,13.9,4.4,APPROACH,MINOR,14,OPEN_ROAD,EDGE,PRESSURE,MIXED,MIXED,STRONG,MILKY_WAY,NEUTRAL,1d
ADT,Short,T5-LOW,53,56,55,62,38,42,48,73,7.02,7.09,6.25,11.0,0.07,6.46,8.7,WAITING,MINOR,7,OPEN_ROAD,EDGE,PRESSURE,MIXED,MIXED,STRONG,MILKY_WAY,BEARISH,4h
